title,authors,tags,series,series_index,comments,identifiers,languages,#subtitle,#title_opf,#info,#libreria
"Road Trip with a Rogue","Kate Bateman","","","1.0","Daisy Hamilton's new mission for King & Co., London's premier private investigation firm, is simple: stop heiress Violetta Brand from eloping. But her case is derailed when she mistakenly holds up the carriage of Lucien Vaughan, Duke of Cranford—cynical war hero, infamous libertine, and the very man who broke her heart five years ago.
Lucien’s determined to see his lovestruck nephew married to Miss Brand, but the unexpected appearance of Daisy— the one woman he’s never been able to forget—could ruin his plans. As they follow the runaway couple together, Lucien decides that delaying the headstrong Daisy by any means possible—including seduction—will be his absolute pleasure and hers. After Daisy’s reputation is threatened, Lucien makes a scandalous claim, but when an unexpected enemy threatens her life, he realizes she’s the only woman for him. Their past encounters have made Daisy almost as jaded about love as Lucien himself, and it’s going to take action, not words, to convince this knife-wielding hellion to risk her heart on him again.
","mobi-asin:c54b7b56-0f04-432f-8d80-2444d47e8032","eng","","Road Trip with a Rogue","","Romance histórico [REVISAR]"
"Knocked Up and Locked Down 1: Beneath His Vow","Jessica Ames","","","1.0","Lexi has always been my calm in the storm. My obsession from the moment I made her my wife. I didn’t think I could love her more, until we were staring at two lines on a pregnancy test and my whole universe tilted. 
I never saw myself becoming a father. As president of a motorcycle club, danger rides with me every day and I swore I’d never bring a kid into that. 
but the second I find out Lexi is pregnant, everything changes. 
She was mine before, but now? I’ll put a bullet between the eyes of anyone who so much as breathes in her direction. Protecting her and our baby is my only priority. 
So when danger strikes too close to home, I’ll turn the world to ashes to keep my family safe. 
*This is a high-heat 30,000 word novella featuring an obsessive alpha husband and his pregnant wife. Tropes possessive husband, workplace drama, surprise pregnancy (not just in the epilogue), dirty talking hero, MC light, breeding elements and a man who would raze the world for his woman.
","mobi-asin:ebd6b66f-1d9f-46f2-ad70-1338e4c381e5","eng","","Knocked Up and Locked Down 1: Beneath His Vow","","Romance contemporáneo [REVISAR]"
"Knocked Up and Locked Down 1: Beneath His Vow","Jessica Ames","","Knock Up & Locked Down","1.0","Lexi has always been my calm in the storm. My obsession from the moment I made her my wife. I didn’t think I could love her more, until we were staring at two lines on a pregnancy test and my whole universe tilted. 
I never saw myself becoming a father. As president of a motorcycle club, danger rides with me every day and I swore I’d never bring a kid into that. 
but the second I find out Lexi is pregnant, everything changes. 
She was mine before, but now? I’ll put a bullet between the eyes of anyone who so much as breathes in her direction. Protecting her and our baby is my only priority. 
So when danger strikes too close to home, I’ll turn the world to ashes to keep my family safe. 
*This is a high-heat 30,000 word novella featuring an obsessive alpha husband and his pregnant wife. Tropes possessive husband, workplace drama, surprise pregnancy (not just in the epilogue), dirty talking hero, MC light, breeding elements and a man who would raze the world for his woman.
","ff:a/jessica-ames/beneath-his-vow,goodreads:238285986,mobi-asin:B0FH33665R","eng","","Knocked Up and Locked Down 1: Beneath His Vow","","Romance contemporáneo [REVISAR]"
"The Air Pirate","Guy Thorne","","","1.0","","mobi-asin:db1e07b5-e273-418e-8eb9-2a91ad4954bf","eng","","The Air Pirate","",""
"The Air Pirate","Guy Thorne","","","1.0","","","eng","","The Air Pirate","",""
"'After': First Sight: MM Romance Novella (Trick of the Light)","Abigail Hunter","","","1.0","","","eng","","'After': First Sight: MM Romance Novella (Trick of the Light)","",""
"Full Out Fiend","Abby Millsaps","","","1.0","","","eng","","Full Out Fiend","",""
"Max! Box Set","Vic Connor","","Max!","1.0","","mobi-asin:B01NCF05UC","eng","","Max! Box Set","",""
"The Last Banquet of Temporal Confections","Tina Connolly","","","1.0","A young food taster to the Traitor King must make a difficult choice in this story of pastries, magic, and revenge. *The Last Banquet of Temporal Confections* is a Tor.com Original from fantasy author Tina Connolly.
At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.
","","eng","","The Last Banquet of Temporal Confections","","Fantasía [REVISAR]"
"The Tell Tail Heart","Cate Conte","","","1.0","<p><b>Welcome back to the charming New England coast, where Maddie James's cat caf</b><b>é is at risk of becoming a crime scene for the <i>purr</i>fect murder. . .</b></p><br><p>Maddie is hoping to have some downtime during Daybreak Island's off-season to tackle her to-do list. Her grandfather's house-turned-cat-café is under construction and she's also scoping out places to open a juice bar on the island. On top of that, her relationship with adorable dog groomer Lucas has taken a <i>paws</i>itive turn. But easy is getting harder every day for Maddie, especially when a big-name writer who's on the island working on a new project winds up floating in the canal. This, on the exact same day an eccentric woman shows up at the cafe claiming Maddie's cat, JJ, is hers. As the investigation into the dead writer picks up, Maddie realizes that even the neighbors she's known all her life might be keeping secrets that go deep into the heart of this small seaside town. Meanwhile, a killer...","","eng","","The Tell Tail Heart","","Misterio·Thriller·Terror [REVISAR]"
"Seriously Hexed","Tina Connolly","","","1.0","<p>Tina Connolly continues the hilarious adventures of teen witch Camellia and her mother, wicked witch Sarmine, in this latest installment to the Andre Norton Award-nominated ""Seriously Wicked"" series.</p><p>Teen witch Cam has resigned herself to being a witch. Sort of. She's willing to do small things, like magically help her boyfriend Devon get over his ongoing stage fright. But tangling with other witches is not on her wishlist. Joining her mother's wicked witch coven is right out.</p><p>New acquaintance Poppy Jones is a Type A, A+ Student of True Witchery. She's got all the answers, and she's delighted to tangle with a bunch of wicked witches. She doesn't need any reluctant witch getting in her way, especially one who knows less than a dozen spells, and has zero plans for witch college.</p><p>Then a coven meeting goes drastically awry. A hex is taking down all thirteen members of the coven, one by one&#8212;putting both girls' mothers in jeopardy. Now the two teens are going...","","eng","","Seriously Hexed","","Paranormal [REVISAR]"
"I am Iron Man","Colin Cook","","","1.0","","mobi-asin:26f30f18-fb45-4885-a42d-33ccb21d9b1d","eng","","I am Iron Man","",""
"Home Field Advantage","Shae Connor","","","1.0","","mobi-asin:B07YJS5GT2","eng","","Home Field Advantage","",""
"A Lesson in Love","Jennifer Connors","","","1.0","In the ninth and final installment of the Lesson series, Ginny has learned a great deal about men. She's experienced every romance novel scenario she can think of, but still has one more lesson to learn. When she meets the duke of Rutland, Ginny knows instantly that he's the one. What she doesn't realize is how perfect he is for her, and not just her character.
Drew Clarke, the duke of Rutland, only wanted some land for his new stables. When he has to deal with the beautiful Samantha Rylan, Ginny's newest character, he is overwhelmed by the force of her personality. She is too far beneath him to marry, but he finds he can't pull himself away.
Is this where Ginny finally finds love? Or will she be doomed to leave him once the story is complete?
","barnesnoble:w/a-lesson-in-love-jennifer-connors/1118955309","eng","","A Lesson in Love","","Romance histórico [REVISAR]"
"Touchstone Season One- Complete Box Set","Andy Conway","","Touchstone Season One","1.0","""I believe it's one of the best series of its kind.""
Six books and a century of time travel. Rachel Hines is lost in time. How will she find her way back to her real life? Touchstone Season 1 is a moving saga that has won rave reviews from young and old readers alike with its intelligent blend of time travel, science fiction and historical fantasy.
  
In a small corner of an English city, dirt poor Rachel Hines and rich kid Danny Pearce are a pair of History students whose destinies become entangled when an old gravestone catapults them into their city's dark past - a gritty, violent, gaslit world of real danger - where they find that every action has an unforeseen consequence that can ripple through generations, and that some characters from the past have seen them before.
""If you haven't read this series yet -- you simply must! But beware -- you will be hooked!!""
This Ebook Box Set edition contains all six novels in Touchstone Season 1, comprising over a quarter of a million words, and 1000 pages in the original paperback editions.
""Had me hooked from start to finish... It's a magnificent story.""
Contains the following titles:  
1\. The Sins of the Fathers [1912]  
2\. Family at War [1940]  
3\. All the Time in the World [1966]  
4\. Station at the End of Time [1959]  
5\. Let's Fall in Love for the Last Time [1934]  
6\. Fade to Grey [1980]
","mobi-asin:B00RGZG4FM","eng","","Touchstone Season One- Complete Box Set","","Fantasía [REVISAR]"
